Bedrooms,Bathrooms,Floor_area,Price_in_taka,City
3,2,1100,4950000,0
3,2,1100,4950000,0
3,3,1096,6600000,0
3,3,1365,7507500,0
3,3,1365,7507500,0
3,3,1365,7507500,0
3,4,2415,25500000,0
2,2,810,3402000,0
3,3,1550,11500000,0
3,3,1050,3750000,0
4,4,4200,50400000,0
3,3,1400,6300000,0
3,3,1400,6300000,0
2,2,1000,4500000,0
4,3,1518,10000000,0
4,4,1250,12500000,0
4,4,2230,16000000,0
3,2,1200,6500000,0
3,3,1050,4500000,0
2,2,650,4225000,0
3,3,1200,5400000,0
3,3,1200,5400000,0
3,2,1100,4950000,0
3,3,1396,11500000,0
3,3,1300,7800000,0
3,3,1300,7800000,0
3,3,1100,6600000,0
3,3,1250,7000000,0
3,3,1255,6902500,0
3,3,1255,6902500,0
3,3,1270,6985000,0
3,3,1255,6902500,0
4,4,2700,27000000,0
4,4,2200,19000000,0
3,3,1150,9000000,0
3,3,1156,6800000,0
3,3,1270,6000000,0
2,2,900,5500000,0
2,2,900,5500000,0
3,2,900,6000000,0
3,3,1200,7200000,0
3,3,1200,8600000,0
3,3,1830,23000000,0
3,3,1300,7400000,0
3,3,1634,9800000,0
3,4,1950,11000000,0
3,3,1294,10000000,0
3,3,1400,8000000,0
2,2,700,4000000,0
3,3,1250,11675000,0
3,3,1250,7500000,0
3,3,1550,10850000,0
3,3,1450,10150000,0
2,2,855,4275000,0
16,10,2154,32310000,0
16,10,2154,32310000,0
3,3,1513,13500000,0
3,4,2000,20000000,0
3,3,1175,9987500,0
3,3,1100,9000000,0
3,4,1637,12000000,0
3,3,1425,11500000,0
3,3,1500,12000000,0
4,4,2225,23500000,0
3,4,2255,22000000,0
3,3,1400,6300000,0
3,3,1400,6300000,0
2,2,1000,4500000,0
3,3,1090,6540000,0
3,3,1463,5852000,0
3,3,1650,7500000,0
3,2,1125,4775000,0
3,2,1125,4775000,0
3,2,1150,4870000,0
2,2,600,2600000,0
3,3,2060,18540000,0
3,3,1425,19950000,0
3,3,1280,7680000,0
4,4,2650,21000000,0
3,3,1218,11000000,0
3,3,1475,15000000,0
3,3,1500,7300000,0
3,3,1275,10600000,0
2,2,800,4000000,0
2,2,785,8250000,0
3,3,1800,16000000,0
3,3,1700,18500000,0
3,3,1125,9500000,0
3,2,1200,11500000,0
2,2,1000,7500000,0
3,2,1150,9000000,0
3,4,2200,22000000,0
2,3,850,6500000,0
3,3,1500,12000000,0
3,3,1227,5800000,0
3,3,1625,11000000,0
2,2,900,6500000,0
3,3,1465,8600000,0
3,3,1600,12000000,0
3,3,1180,6490000,0
3,3,1215,7500000,0
3,3,1410,13395000,0
2,2,922,5000000,0
3,4,1350,12150000,0
3,2,820,3700000,0
3,3,1470,7000000,0
3,2,1090,5500000,0
3,3,1550,14500000,0
3,4,1654,12500000,0
3,2,1140,6100000,0
3,3,1500,10800000,0
4,4,2350,29000000,0
3,3,1950,10725000,0
3,3,1200,6600000,0
3,2,1185,7700000,0
3,3,1250,7000000,0
3,2,950,4400000,0
3,3,1400,8200000,0
3,4,2009,19900000,0
3,4,1575,16000000,0
3,3,1400,8140000,0
3,2,975,5000000,0
3,3,1350,6500000,0
3,2,1115,5800000,0
4,4,3132,27000000,0
2,2,1000,6000000,0
3,3,1250,6500000,0
6,4,2829,42435000,0
3,3,1650,16000000,0
3,4,1654,9500000,0
4,4,2200,22000000,0
3,3,1245,9000000,0
3,2,915,4000000,0
1,1,250,3400000,0
3,2,1000,5500000,0
4,4,2150,18875000,0
4,4,2150,18575000,0
2,2,1200,7000000,0
3,3,1206,14000000,0
2,2,650,3200000,0
3,2,1050,4725000,0
2,2,950,4275000,0
4,4,1600,7500000,0
3,3,1873,25500000,0
3,3,1515,19900000,0
2,2,650,3500000,0
2,2,1015,6000000,0
3,2,1125,4775000,0
4,4,1900,19000000,0
3,2,1095,7500000,0
3,2,1000,7000000,0
2,2,800,4000000,0
3,3,1616,7272000,0
3,2,1140,6200000,0
3,3,1465,8800000,0
2,2,650,2400000,0
3,5,2100,29000000,0
2,2,750,4200000,0
4,3,1160,4408000,0
8,4,2146,10500000,0
3,2,900,2900000,0
2,2,1050,3360000,0
3,3,1250,11500000,0
3,3,1675,9712500,0
3,3,1300,7500000,0
3,4,2787,29000000,0
3,2,986,6200000,0
2,2,920,3300000,0
3,3,1275,8500000,0
3,3,1350,8800000,0
2,2,1000,3500000,0
3,3,1770,9000000,0
3,3,1180,5500000,0
4,4,1250,6800000,0
2,2,850,5100000,0
3,3,1220,7000000,0
2,2,850,5300000,0
4,4,2000,19000000,0
2,2,600,2300000,0
3,3,1350,12000000,0
2,2,680,4000000,0
3,4,2004,17500000,0
2,2,1330,19000000,0
3,4,1913,19700000,0
3,3,1420,11500000,0
3,3,1274,10500000,0
3,3,4372,65580000,0
3,3,1890,20000000,0
3,4,1500,13500000,0
3,3,2142,20500000,0
3,3,2200,21000000,0
3,3,1500,12000000,0
3,3,1250,8000000,0
3,3,1250,8000000,0
3,3,1150,8200000,0
3,4,1680,11000000,0
3,3,1400,8400000,0
3,3,1204,7500000,0
3,3,1350,9500000,0
4,4,2400,20800000,0
2,2,1050,6300000,0
3,2,1100,8500000,0
3,3,1700,13600000,0
3,3,1700,13600000,0
4,4,3660,109800000,0
3,3,1200,6700000,0
3,4,1370,9500000,0
3,2,1150,6500000,0
2,2,840,5000000,0
6,4,3600,42000000,0
3,3,1450,9500000,0
3,5,2160,29000000,0
3,2,1050,5500000,0
2,2,1050,5000000,0
2,2,650,3200000,0
3,3,1618,12500000,0
4,5,3600,34000000,0
4,4,2280,25000000,0
3,3,1450,12000000,0
3,3,1290,6500000,0
3,3,1300,6000000,0
2,2,772,4300000,0
4,4,2160,24500000,0
3,3,1495,7000000,0
2,2,650,3500000,0
2,2,650,3200000,0
3,3,1200,5500000,0
3,3,1200,5500000,0
3,3,1200,5500000,0
3,2,1120,5500000,0
2,2,800,4000000,0
3,2,1000,6000000,0
3,2,1030,6000000,0
3,3,1250,6700000,0
3,3,1105,7500000,0
3,3,2374,26500000,0
2,2,970,4000000,0
3,3,1239,11000000,0
2,2,1040,6200000,0
3,3,1350,8500000,0
3,3,1660,10500000,0
4,4,1497,9500000,0
3,2,1000,6500000,0
3,1,700,2000000,0
2,2,925,5500000,0
3,3,1250,7000000,0
3,3,1750,11000000,0
3,3,1750,16000000,0
3,3,1600,14500000,0
3,3,1350,13500000,0
2,2,852,4800000,0
3,3,1850,15725000,0
4,4,1675,11500000,0
3,3,1250,7500000,0
3,3,1250,7500000,0
2,2,700,3000000,0
3,3,1350,13500000,0
3,3,1400,8500000,0
2,2,970,8500000,0
4,4,1760,14500000,0
3,3,1360,7500000,0
3,3,1600,12800000,0
3,4,2060,32960000,0
3,4,2060,32960000,0
4,4,1960,23520000,0
3,3,1500,11500000,0
4,4,2110,28485000,0
2,2,750,2625000,0
4,4,1800,14400000,0
3,3,2184,6000000,0
3,3,1120,5040000,0
3,3,1255,19452500,0
3,3,1250,5000000,0
4,4,2450,31000000,0
3,3,1300,11050000,0
3,3,1200,8700000,0
3,3,1450,11500000,0
